country	Benin	10	3
country	Burkina Faso	13	-2.5
country	Cameroon	8	13
country	Central African Republic	5	18.5
country	Mali	14	-5
country	Nigeria	10	7
country	Niger	13	2
country	Togo	7	1
country	Sierra Leone	8	-12
country	Ivory Coast	7.5	-5
country	Ghana	7	-1
country	Guinea	9	-9
country	Chad	11	16
country	Gambia	13.5	-15
country	Senegal	15	-15
location	Benin	10	3
location	Burkina Faso	13	-2.5
location	Cameroon	8	13
location	Central African Republic	5	18.5
location	Mali	14	-5
location	Nigeria	10	7
location	Niger	13	2
location	Togo	7	1
location	Sierra Leone	8	-12
location	Ivory Coast	7.5	-5
location	Ghana	7	-1
location	Guinea	9	-9
location	Chad	11	16
location	Gambia	13.5	-15
location	Senegal	15	-15
location	Liberia	6.4	-9.4
location	Democratic Republic of the Congo	-3.1	22.7
