strain	latAO	longAO	location	date
1975CI17cp.seq	6.8	-5.3	Ivory Coast	1975
1975CI68cp.seq	6.8	-5.3	Ivory Coast	1975
1975CIacp.seq	6.8	-5.3	Ivory Coast	1975
1975SL1cp.seq	9.6	-11.6	Sierra Leone	1975
1975SL2cp.seq	9.1	-12.9	Sierra Leone	1975
1975SL3cp.seq	8	-11.7	Sierra Leone	1975
1975SL4cp.seq	8.9	-12	Sierra Leone	1975
1975SL5cp.seq	7.6	-11.8	Sierra Leone	1975
1975SL6cp.seq	8.5	-11.8	Sierra Leone	1975
1975SL7cp.seq	8.5	-11.8	Sierra Leone	1975
1980Ni131cp.seq	7	7.4	Nigeria	1980
1980Ni1cp.seq	13.2	5.2	Nigeria	1980
1980Ni2cp.seq	7	7.4	Nigeria	1980
1980Ni4cp.seq	7	7.4	Nigeria	1980
1980Ni6cp.seq	7	7.4	Nigeria	1980
1980Niacp.seq	7	7.4	Nigeria	1980
1990BF1cp.seq	10.7	-4.8	Burkina Faso	1990
1990BF2cp.seq	10.7	-4.8	Burkina Faso	1990
1990CIbcp.seq	7.2	-5.4	Ivory Coast	1990
1990Ma1cp.seq	11.3	-5.7	Mali	1990
1990Ma2cp.seq	11.3	-5.7	Mali	1990
1991CI12cp.seq	7.7	-5	Ivory Coast	1991
1991CI13cp.seq	7.7	-5	Ivory Coast	1991
1991Gu1cp.seq	7.9	-8.9	Guinea	1991
1992Ma3cp.seq	14.2	-6	Mali	1992
1992Ma9cp.seq	14.2	-6	Mali	1992
1994CI10cp.seq	6.6	-6	Ivory Coast	1994
1994CI11cp.seq	5.2	-3.7	Ivory Coast	1994
1994CI2cp.seq	7.1	-4.5	Ivory Coast	1994
1994CI8cp.seq	6.1	-5.9	Ivory Coast	1994
1994CI9cp.seq	7.5	-5.3	Ivory Coast	1994
1995CI1cp.seq	6.1	-5.9	Ivory Coast	1995
1995CI3cp.seq	9.1	-6.5	Ivory Coast	1995
1995CI46cp.seq	9.5	-6.5	Ivory Coast	1995
1995CI4cp.seq	8.5	-3.5	Ivory Coast	1995
1995CI5cp.seq	10.2	-5.6	Ivory Coast	1995
